status_id,text,favorite_count,retweet_count,place_name,country_code
1071071713130106880,The Invoke team is now a certified Microsoft gold partner in data analytics. BI and analytics are consistently rated as top investments by CIOs. Invoke can deliver actionable business insights which can be used to transform your businesses. #PowerBI #Azure #businessinteligence https://t.co/43gtIKL2kz,1,1,NA,NA
1071071613125320706,"RT @SkyWilliams: competitive gaming has had hints of homophobia. be it in the way people shit talk or the profiles of prominent pros, it’s…",0,474,NA,NA
1071071537359400960,"Great article featuring @Microsoft’s @TonyShakib @khalilalfar and Michael Kupz. #Azure and #IoT are paving a way of industry opportunities, check out our experts tell you more. https://t.co/6ivBGaboJ5",1,1,NA,NA
1071071413350453248,Snowflake disponible sur Azure en Europe @MondeInformatiq @NicolasCertes  https://t.co/MJmGxLNn0V @SnowflakeDB #analytic #cloud #SaaS #SQL #ITPT https://t.co/C18BbIkwpH,0,0,NA,NA
1071071277149011969,"RT @CNBC: Microsoft's cloud business could be bigger than Windows by 2021, KeyBanc says. https://t.co/CtFuyA2YFz",0,9,NA,NA
1071071154775838720,@azure_fqzy 裕興記最初是蘇州人開了專門騙上海人的，離百年老店還差99年😝😝😝,0,0,NA,NA
1071070829587431425,@royal_azure Wow thank you so much for the love!🙏🏾,0,0,NA,NA
1071070714273370112,I'll be at the @Azure booth on Tuesday afternoon if anyone wants to hang or wants demos or just wants to chat. yay to twitter friends meeting in real life 💙 #KubeCon #CloudNativeCon https://t.co/eIRvrTzmO8,2,0,NA,NA
1071070524623663105,"RT @CNBC: Microsoft's cloud business could be bigger than Windows by 2021, KeyBanc says. https://t.co/CtFuyA2YFz",0,9,NA,NA
1071070521817739269,"RT @Azure: Learn how to use #AI-powered #Azure Cognitive Search to create a data-enrichment pipeline that feeds into a search index. Watch,…",0,6,NA,NA
1071070276388052993,"RT @CNBC: Microsoft's cloud business could be bigger than Windows by 2021, KeyBanc says. https://t.co/CtFuyA2YFz",0,9,NA,NA
1071070050684157953,"when someone wants to meet at KubeCon and emailed u like 3 times and u just didn't see the email and feel like a jerk 😐

just getting to responding to these now. if you emailed me, just email me again eek my b! or stop by the @Azure booth Tuesday afternoon!",6,0,NA,NA
1071069845884674048,"RT @_s_hari: Even if you're not #Azure based, this is an excellent starter book on #Serverless architecture and patterns by @jeremylikness…",0,3,NA,NA
1071069393164083200,"GUEST APPRECIATION DAY IN BEARDEN... food, wine, specials, live music 🎶 and games..... you receive $10.00 salon bucks just for stopping by and saying hi 👋🏼........ @ Salon Azure and Spa https://t.co/so04grt4il",0,0,Knoxville,US
1071069370208669698,"RT @_s_hari: Even if you're not #Azure based, this is an excellent starter book on #Serverless architecture and patterns by @jeremylikness…",0,3,NA,NA
1071069174632513536,Azure DataFest is intense! People are doing some amazing things with data.,1,0,NA,NA
1071069083209211905,"RT @timheuer: ""I want to try Visual Studio 2019 but don't want to install it on my machine."" Cool, you know it will install side-by-side ri…",0,8,NA,NA
1071069027429163009,"RT @AdamHecktman: This is cool.  Has some sample Python notebooks.  Focus on the machine learning rather than the infrastructure, by buildi…",0,1,NA,NA
1071068960953696256,"RT @CNBC: Microsoft's cloud business could be bigger than Windows by 2021, KeyBanc says. https://t.co/CtFuyA2YFz",0,9,NA,NA
1071068889419825153,Having PowerShell build a couple tables to generate an overview of Azure DB permissions and role membership across multiple subscriptions.  Thanks @psdbatools !,0,0,NA,NA
1071068542332739585,@Azure_Husky I am so happy you're not going through this recovery alone.,0,0,NA,NA
1071068536288829441,@surveysclub @Megra420 @Raiden4280 @GurraSmyge @azure_leona_10 @AlexisGaming5 @HazelllGracee @infernomirhan @KaizerKara @sofsmosh @Nathaniel456sms  https://t.co/PEiTG7cbf0,0,0,NA,NA
1071068410795180033,"Microsoft's cloud business could be bigger than Windows by 2021, KeyBanc says https://t.co/2dpR9stihi",0,0,NA,NA
1071067825756729344,RT @LittleLight__: Y’all I’m trying to hit the books but they hitting me back https://t.co/164JgNFiqI,0,24574,NA,NA
1071067801803120641,"RT @NileshR_Shah: Join us on 14 Dec for @CsharpCorner #Toronto chapter's @Meetup on #Azure data and #AI platform, #Office365 add-ins dev #O…",0,16,NA,NA
1071067737143828481,"Microsoft's cloud business could be bigger than Windows by 2021, KeyBanc says https://t.co/lQwMfC9izo",0,0,NA,NA
1071067581820264448,RT @lilstasta_: This shit close to home y’all be onda lookout 👀👏🏾 https://t.co/JFSZkla75D,0,129,NA,NA
1071067548555206656,RT @KristinAlex_: THIS is why I’m in Public Health and extremely passionate about my field. Don’t deny the disparities. Black women are dyi…,0,181,NA,NA
1071067523720863745,Azure Hybrid Benefit for SQL Server on Azure Virtual Machines https://t.co/uQYC95Iivm,0,0,NA,NA
